Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2021 JIF,2021 JCI,% of OA Gold,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,JCI Rank,JCI Quartile,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,JIF Percentile,JIF Quartile,AIS Quartile,Citable Items,% of Articles in Citable items,Cited Half-Life,Citing Half-Life,Total Articles
IEEE Access,IEEE ACCESS,2169-3536,2169-3536,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",173341,3.476,0.93,99.52%,79/164,3.758,Q2,2.966,0.702,76/246,Q2,69.31,0.249,53.55,0.613,52.13,Q2,Q2,12388,97.15%,2.4,5.2,NA
IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,IEEE T PATTERN ANAL,0162-8828,1939-3539,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",73149,24.314,4.71,7.75%,2/145,25.651,Q1,24,11.881,3/190,Q1,98.68,0.066,14.256,6.752,98.97,Q1,Q1,312,99.04%,8.2,6.2,309
IEEE TRANSACTIONS ON IMAGE PROCESSING,IEEE T IMAGE PROCESS,1057-7149,1941-0042,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",67579,11.041,2.19,4.93%,12/145,12.762,Q1,10.006,1.521,14/190,Q1,92.89,0.077,16.511,3.205,92.07,Q1,Q1,703,100%,6.1,4.7,703
EXPERT SYSTEMS WITH APPLICATIONS,EXPERT SYST APPL,0957-4174,1873-6793,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",64974,8.665,1.81,3.41%,21/145,8.093,Q1,7.494,2.043,21/190,Q1,89.21,0.039,8.443,1.239,85.86,Q1,Q2,1864,96.89%,6.3,6.2,NA
NEUROCOMPUTING,NEUROCOMPUTING,0925-2312,1872-8286,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",54651,5.779,1.11,2.35%,39/145,5.416,Q2,5.086,1.316,42/190,Q1,78.16,0.066,14.124,1.009,73.45,Q2,Q2,1801,99.39%,4.2,5.2,NA
INFORMATION SCIENCES,INFORM SCIENCES,0020-0255,1872-6291,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",51960,8.233,2.23,2.64%,16/164,7.299,Q1,6.874,2.336,12/246,Q1,95.33,0.046,9.924,1.252,90.55,Q1,Q1,1427,99.72%,4.7,5.7,NA
IEEE Transactions on Neural Networks and Learning Systems,IEEE T NEUR NET LEAR,2162-237X,2162-2388,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",49190,14.255,3.01,2.98%,6/145,13.35,Q1,11.972,3.143,8/190,Q1,96.05,0.051,10.95,3,96.21,Q1,Q1,1403,99.5%,4.6,5.1,NA
JOURNAL OF MACHINE LEARNING RESEARCH,J MACH LEARN RES,1532-4435,NA,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",47705,5.177,0.99,0%,44/145,8.146,Q1,5.018,0.556,53/190,Q2,72.37,0.032,6.804,3.365,70,Q2,Q1,252,99.21%,10.6,7.9,250
APPLIED SOFT COMPUTING,APPL SOFT COMPUT,1568-4946,1872-9681,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",41240,8.263,1.57,2.97%,23/145,7.595,Q1,7.388,2.193,26/190,Q1,86.58,0.037,7.961,1.141,84.48,Q1,Q2,1137,98.24%,4,5.5,NA
IEEE TRANSACTIONS ON INFORMATION THEORY,IEEE T INFORM THEORY,0018-9448,1557-9654,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",39799,2.978,0.89,20.16%,91/164,3.185,Q3,2.38,0.656,83/246,Q2,66.46,0.024,5.265,1.07,44.82,Q3,Q1,477,100%,15,9.8,477
