,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
0,2-s2.0-85169788127,10.1016/j.eswa.2023.121220,S0957417423017220,,Artificial Intelligence risk measurement,ar,Article,Giudici P.,60015197;129695221;124484661,Università degli Studi di Pavia;Credito Emiliano;Independent,Pavia;;Parma,Italy;Italy;Italy,3,"Giudici, Paolo;Centurelli, Mattia;Turchetta, Stefano",23491813000;58257721600;58257721700,60015197;129695221;124484661,2024-01-01,January 2024,Expert Systems with Applications,09574174,24201,,Journal,235,,121220,,"Financial institutions are increasingly leveraging on advanced technologies, facilitated by the availability of Machine Learning methods that are being integrated into several applications, such as credit scoring, anomaly detection, internal controls and regulatory compliance. Despite their high predictive accuracy, Machine Learning models may not provide sufficient explainability, robustness and/or fairness; therefore, they may not be trustworthy for the involved stakeholders, such as business users, auditors, regulators and end-customers. To measure the trustworthiness of AI applications, we propose the first Key AI Risk Indicators (KAIRI) framework for AI systems, considering financial services as a reference industry. To this aim, we map the recently proposed regulatory requirements proposed for Artificial Intelligence Act into a set of four measurable principles (Sustainability, Accuracy, Fairness, Explainability) and, for each of them, we propose a set of interrelated statistical metrics that can be employed to measure, manage and mitigate the risks that arise from artificial intelligence. We apply the proposed framework to a collection of case studies, that have been indicated as highly relevant by the European financial institutions we interviewed during our research activities. The results from data analysis indicate that the proposed framework can be employed to effectively measure AI risks, thereby promoting a safe and trustworthy AI in finance.",Accuracy | Explainability | Fairness | Financial risk management | Machine learning | Sustainability,0,1,publisherhybridgold,Hybrid Gold,,101016233,
1,2-s2.0-85164366449,10.1016/j.ejor.2023.06.036,S0377221723005088,,Interpretable machine learning for imbalanced credit scoring datasets,ar,Article,Chen Y.,60176142,University of Edinburgh Business School,Edinburgh,United Kingdom,3,"Chen, Yujia;Calabrese, Raffaella;Martin-Barragan, Belen",58479686700;35147609600;8369680400,60176142;60176142;60176142,2024-01-01,1 January 2024,European Journal of Operational Research,03772217,22489,,Journal,312,1,,357-372,"The class imbalance problem is common in the credit scoring domain, as the number of defaulters is usually much less than the number of non-defaulters. To date, research on investigating the class imbalance problem has mainly focused on indicating and reducing the adverse effect of the class imbalance on the predictive accuracy of machine learning techniques, while the impact of that on machine learning interpretability has never been studied in the literature. This paper fills this gap by analysing how the stability of Local Interpretable Model-agnostic Explanations (LIME) and SHapley Additive exPlanations (SHAP), two popular interpretation methods, are affected by class imbalance. Our experiments use 2016–2020 UK residential mortgage data collected from European Datawarehouse. We evaluate the stability of LIME and SHAP on datasets of progressively increased class imbalance. The results show that interpretations generated from LIME and SHAP are less stable as the class imbalance increases, which indicates that the class imbalance does have an adverse effect on machine learning interpretability. To check the robustness of our outcomes, we also analyse two open-source credit scoring datasets and we obtain similar results.",Credit scoring | Interpretability | Machine learning | OR in banking | Stability,0,1,repositoryvor,Green,ESRC,ES/W010259/1,Economic and Social Research Council
2,2-s2.0-85170636566,10.1016/j.clsr.2023.105871,S026736492300081X,,The European AI liability directives – Critique of a half-hearted approach and lessons for the future,ar,Article,Hacker P.,60007892,Europa-Universität Viadrina Frankfurt (Oder),Frankfurt/Oder,Germany,1,"Hacker, Philipp",57207556651,60007892,2023-11-01,November 2023,Computer Law and Security Review,02673649,28888,,Journal,51,,105871,,"The optimal liability framework for AI systems remains an unsolved problem across the globe. With ChatGPT and other large generative models taking the technology to the next level, solutions are urgently needed. In a much-anticipated move, the European Commission advanced two proposals outlining the European approach to AI liability in September 2022: a novel AI Liability Directive (AILD) and a revision of the Product Liability Directive (PLD). They constitute the final cornerstone of AI regulation in the EU. Crucially, the liability proposals and the proposed EU AI Act are inherently intertwined: the latter does not contain any individual rights of affected persons, and the former lack specific, substantive rules on AI development and deployment. Taken together, these acts may well trigger a “Brussels effect” in AI regulation, with significant consequences for the US and other countries. Against this background, this paper makes three novel contributions. First, it examines in detail the liability proposals and shows that, while making steps in the right direction, they ultimately represent a half-hearted approach: if enacted as foreseen, AI liability in the EU will primarily rest on disclosure of evidence mechanisms and a set of narrowly defined presumptions concerning fault, defectiveness and causality. Hence, second, the article suggests amendments to the proposed AI liability framework. They are collected in a concise Annex at the end of the paper. I argue, inter alia, that the dichotomy between the fault-based AILD Proposal and the supposedly strict liability PLD Proposal is fictional and should be abandoned; that an EU framework for AI liability should comprise one fully harmonizing regulation instead of two insufficiently coordinated directives; and that the current proposals unjustifiably collapse fundamental distinctions between social and individual risk by equating high-risk AI systems in the AI Act with those under the liability framework. Third, based on an analysis of the key risks AI poses, the final part of the paper maps out a road for the future of AI liability and regulation, in the EU and beyond. More specifically, I make four key proposals. Effective compensation should be ensured by combining truly strict liability for certain high-risk AI systems with general presumptions of defectiveness, fault and causality in cases involving SMEs or non-high-risk AI systems. The paper introduces a novel distinction between illegitimate- and legitimate-harm models to delineate strict liability's scope. Truly strict liability should be reserved for high-risk AI systems that, from a social perspective, should not cause harm (illegitimate-harm models, e.g., autonomous vehicles or medical AI). Models meant to cause some unavoidable harm by ranking and rejecting individuals (legitimate-harm models, e.g., credit scoring or insurance scoring) may merely face rebuttable presumptions of defectiveness and causality. General-purpose AI systems and Foundation Models should only be subjected to high-risk regulation, including liability for high-risk AI systems, in specific high-risk use cases for which they are deployed. Consumers, in turn, ought to be liable based on regular fault, in general. Furthermore, innovation and legal certainty should be fostered through a comprehensive regime of safe harbours, defined quantitatively to the best extent possible. Moreover, trustworthy AI remains an important goal for AI regulation. Hence, the liability framework must specifically extend to non-discrimination cases and provide for clear rules concerning explainability (XAI). Finally, awareness for the climate effects of AI, and digital technology more broadly, is rapidly growing in computer science. In diametrical opposition to this shift in discourse and understanding, however, EU legislators have long neglected environmental sustainability in both the draft AI Act and the proposed liability regime. To counter this, I propose to jump-start sustainable AI regulation via sustainability impact assessments in the AI Act and sustainable design defects in the liability regime. In this way, the law may help spur not only fair AI and XAI, but also sustainable AI (SAI).",AI act | Artificial intelligence | ChatGPT | EU law | Innovation | Large generative AI models | Product liability | Sustainability,0,1,,,,undefined,
3,2-s2.0-85165555034,10.1016/j.irfa.2023.102755,S1057521923002715,,A two-stage credit scoring model based on random forest: Evidence from Chinese small firms,ar,Article,Zhou Y.,60004538;60002644,Dalian University of Technology;Universitat de València,Dalian;Valencia,China;Spain,3,"Zhou, Ying;Shen, Long;Ballester, Laura",57210572839;57893901900;36141677400,60004538;60004538;60002644,2023-10-01,October 2023,International Review of Financial Analysis,10575219,17385,,Journal,89,,102755,,"Small firms are major contributors to most economies, often supported by government policies. However, the credit scoring of small firms is complicated and costly, making it a challenging field of research. Using loan data from 3045 small firms in China, we design a two-stage expert system for default prediction that quantifies the variables and thresholds that have a key impact. Firstly, we use SMOTE to deal with the imbalanced data and secondly, we employ random forest to build predictive credit features. Dominance analysis shows that, when making default assessments on Chinese small firms, it is important to consider not only financial factors, but also non-financial and macroeconomic factors. In particular, the net cash profit, the firm's legal disputes and the per capita disposable income of urban residents are key factors in credit scoring. Robustness tests show that our proposed methodology performs better than other machine learning models, and this result is robust with observations from other countries.",Credit scoring | Dominance analysis | Expert system | Small firms,0,1,publisherhybridgold,Hybrid Gold,FRA,72161033,Fundación Ramón Areces
4,2-s2.0-85164173326,10.1007/s12083-023-01526-5,,,Swarm learning based credit scoring for P2P lending in block chain,ar,Article,John A.P.,60114922;60100946,St.Joseph's Institute of Technology;St. Joseph's College of Engineering,Chennai;Chennai,India;India,4,"John, Antony Prince;Devaraj, Jagadhiswaran;Gandhimaruthian, Lathaselvi;Liakath, Javid Ali",58582993000;58475256200;43661543000;57215487383,60100946;60100946;60100946;60114922,2023-09-01,September 2023,Peer-to-Peer Networking and Applications,19366442,14300154706,19366450,Journal,16,5,,2113-2130,"Conventional loan avenues generally focus more on the formal sector than the unbanked sector. A peer to-peer (p2p) lending platform built on blockchain can help bridge the gap between potential lenders and borrowers in need of money in a secure and decentralized environment. The Ethereum blockchain allows for the creation of smart contracts to perform actions in the network by setting logic rules and conditions thereby removing the need for middlemen and can be inclusive of the unbanked sector. The p2p platform introduces swarm learning for credit scoring, which is a novel methodology that utilizes smart contracts to train decentralized machine learning models. Each training round happens on the local device with the user data, which then exchanges the training parameters and weights to the machine learning model maintained in the smart contract. This allows for preserving the privacy of the user data by ensuring the data never leaves the device but only the inference does. Upon analyzing the user’s behavior, a statistical credit score is assessed for validating the chances of the user to default his/her loan repayment. The performance of the proposed model that has been trained using the swarm learning technique is close to the model that had been trained in a centralized environment while overcoming the drawbacks of federated learning by incorporating blockchain and swarm methodology.",Credit scoring | Decentralized machine learning | Ethereum blockchain | Peer-to-peer network | Smart contracts | Swarm learning,0,0,,,,undefined,
5,2-s2.0-85170253375,10.1051/e3sconf/202340905013,,,Determinants of Credit Ratings and Comparison of the Rating Prediction Performances of Machine Learning Algorithms,cp,Conference Paper,Cetin A.I.,60019963;60001343,Yıldız Teknik Üniversitesi;Brock University,Istanbul;St. Catharines,Turkey;Canada,2,"Cetin, Ali Iezhsan;Ahmed, Syed Ejaz",58567865800;16681129000,60019963;60001343,2023-08-01,1 August 2023,E3S Web of Conferences,25550403,21100795900,22671242,Conference Proceeding,409,,05013,,"In the literature, new machine learning algorithms are dynamically produced in the field of artificial intelligence engineering and the algorithms are constantly updated with new parameter estimations. The performance of existing algorithms in various business areas is still an important topic of discussion. Also, machine learning algorithms are frequently used in long-Term credit ratings, which is an crucially important sub-branch of finance. This study was conducted to determine which popular machine learning model performs better in credit scoring. Artificial Neural Network, Random Forest, Support Vector Machine and K Nearest Neighbor were used to determine the algorithm that is suitable for the structure, attribute content and distribution of the data, and the operating logic of the models. In the study, the long-Term credit rating is the target variable and the remaining variables are the features, the prediction performances of these 4 algorithm, which are frequently used in previous studies such as credit rating, credit risk, fraud analysis were compared. After data preprocessing, a classification study was carried out using the features included in the model. The metrics used in the comparison are MSE, RMSE, MAE and accuracy. According to the metrics, RF algorithm showed the best performance in the credit scoring.",Classification | Data mining | Finance | Machine Learning,0,1,repositoryvor,Green,,undefined,
6,2-s2.0-85150464594,10.1016/j.eswa.2023.119882,S0957417423003834,,Credit risk evaluation using clustering based fuzzy classification method,ar,Article,Baser F.,60012603;60004305,Ankara Üniversitesi;Middle East Technical University (METU),Ankara;Ankara,Turkey;Turkey,3,"Baser, Furkan;Koc, Oguz;Selcuk-Kestel, A. Sevtap",36187826100;57437433300;56910262500,60012603;60004305;60004305,2023-08-01,1 August 2023,Expert Systems with Applications,09574174,24201,,Journal,223,,119882,,"Credit scoring is a crucial indicator for banks to determine the financial position and the eligibility of a client for credit. In order to assign statistical odds or probabilities to predict the risk of nonpayment in relation to many other factors, the scoring criterion becomes an important issue. The focus of this study is to propose a clustering based fuzzy classification (CBFC) method for credit risk assessment. We aim to illustrate the beneficial use of machine learning (ML) methods whose prediction power is increased by adopting fuzzy theory to calculate the default risk with a better selection of the features contributing to it. An important feature of the CBFC method is that membership values obtained as a result of the fuzzy k-means clustering algorithm are used for the purpose of better capturing the structure of an existing system. An extensive comparison is performed to show how CBFC performs compared to the traditional ones for the datasets having different characteristics in terms of the variable types. Five different real-life datasets are studied to expose the contribution of fuzzy approach on improving the ML use. Our findings show that the proposed CBFC models can produce the promising classification results in credit risk evaluation which aid the practitioners and decision makers for issuance of credit purposes.",Clustering | Credit scoring | Fuzzy classification | Home credit risk | Machine learning,0,0,,,,undefined,
7,2-s2.0-85167364103,10.17762/ijritcc.v11i7s.6984,,,Reinforcement of the Bank Loan Model using the Feature Selection Method of Machine Learning,ar,Article,Goel N.,111995397,VBS Purvanchal University,Jaunpur,India,2,"Goel, Noopur;Singh, Durgesh Kumar",57205677420;57219490010,111995397;111995397,2023-07-01,July 2023,International Journal on Recent and Innovation Trends in Computing and Communication,,21101089961,23218169,Journal,11,7 s,,126-137,"Does feature selection and machine learning (ML) guarantee the effectiveness of the bank credit system model? This article aims to analyze this problem. In fact, in finance, expert-based credit risk models still dominate. In this study, we establish a new benchmark using consumer data and present machine learning methods. A risk prediction that is as accurate as possible is an important requirements for credit scoring models. In addition, regulators expect that the models should to be auditable and transparent. As a result, the superior predictive power of contemporary machine learning algorithms cannot be fully utilized in credit scoring because very simple predictive models, such as several ML classifiers, are still widely used. As a result, significant potential is missed, increasing reserves or the number of credit defaults. A framework for comparing scores before and after feature selection machine learning models that are transparent, auditable, and explainable is presented in this article, as well as the various dimensions that need to be taken into consideration in order to make credit scoring models understandable. In accordance with this framework, we give an overview of the models which demonstrate how it can be used in credit scoring, and compare the results to scorecards' interpretability. The model presented demonstrates that machine learning techniques can maintain their ability to enhance predictive power while still maintaining a comparable level of interpretability.",Bank credit | Ensemble | Feature selection | Machine learning | ROC (AUC) curve | Stacking | Voting,0,1,publisherfree2read,Bronze,,undefined,
8,2-s2.0-85162891648,10.1145/3555041.3589682,,,Proactively Screening Machine Learning Pipelines with ARGUSEYES,cp,Conference Paper,Schelter S.,60025858;60009982;60002483,ETH Zürich;Harvard University;Universiteit van Amsterdam,"Zurich ZH,;Cambridge;Amsterdam",Switzerland;United States;Netherlands,5,"Schelter, Sebastian;Grafberger, Stefan;Guha, Shubha;Karlaš, Bojan;Zhang, Ce",55387078400;57209510050;57225017755;57205171983;58502033600,60002483;60002483;60002483;60009982;60025858,2023-06-04,4 June 2023,Proceedings of the ACM SIGMOD International Conference on Management of Data,07308078,30611,,Conference Proceeding,,,,91-94,"Software systems that learn from data with machine learning (ML) are ubiquitous. ML pipelines in these applications often suffer from a variety of data-related issues, such as data leakage, label errors or fairness violations, which require reasoning about complex dependencies between their inputs and outputs. These issues are usually only detected in hindsight after deployment, after they caused harm in production. We demonstrate ArgusEyes, a system which enables data scientists to proactively screen their ML pipelines for data-related issues as part of continuous integration. ArgusEyes instruments, executes and screens ML pipelines for declaratively specified pipeline issues, and analyzes data artifacts and their provenance to catch potential problems early before deployment to production. We demonstrate our system for three scenarios: detecting mislabeled images in a computer vision pipeline, spotting data leakage in a price prediction pipeline, and addressing fairness violations in a credit scoring pipeline.",data validation | machine learning pipelines | provenance tracking,0,1,repositoryvor,Green,,undefined,
9,2-s2.0-85156911440,10.1007/s11760-022-02304-1,,,"Correction to: Feature contribution alignment with expert knowledge for artificial intelligence credit scoring (Signal, Image and Video Processing, (2023), 17, 2, (427-434), 10.1007/s11760-022-02239-7)",er,Erratum,Qadi A.E.,60189794;60001422;127334566;116272556,Instituto Andaluz Interuniversitario en Data Science and Computational Intelligence;Sorbonne Université;Tinubu Square;ISEP,Granada;Paris;Issy-les-Moulineaux;Issy-les-Moulineaux,Spain;France;France;France,4,"Qadi, Ayoub El;Trocan, Maria;Díaz-Rodríguez, Natalia;Frossard, Thomas",58226835700;12783726500;55904010200;57222866709,127334566-60001422-116272556;60001422-116272556;60189794;127334566,2023-06-01,June 2023,"Signal, Image and Video Processing",18631703,6200180165,18631711,Journal,17,4,,1743,"In the online published version, one of the authors—Natalia D´ıaz-Rodr´ıguez—would like to update the name as Natalia Díaz-Rodríguez.",,0,1,publisherfree2read,Bronze,,undefined,
