,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
0,2-s2.0-85171734193,10.1016/j.eswa.2023.121484,S0957417423019863,,"Consumer credit risk assessment: A review from the state-of-the-art classification algorithms, data traits, and learning methods",re,Review,Zhang X.,60128181;60028275;114930335,Business School of Sichuan University;Jiangxi University of Finance and Economics;Shenzhen Institute of Technology,Chengdu;Nanchang;Shenzhen,China;China;China,2,"Zhang, Xiaoming;Yu, Lean",58537911800;57318182500,60028275;60128181-114930335,2024-03-01,1 March 2024,Expert Systems with Applications,09574174,24201,,Journal,237,,121484,,"Credit risk assessment is a crucial element in credit risk management. With the extensive research on consumer credit risk assessment in recent decades, the abundance of literature on this topic can be overwhelming for researchers. Therefore, this article aims to provide a more systematic and comprehensive analysis from three perspectives: classification algorithms, data traits, and learning methods. Firstly, the state-of-the-art classification algorithms are categorized into traditional single classifiers, intelligent single classifiers, hybrid and ensemble multiple classifiers. Secondly, considering the diversity of data traits in the credit dataset, data traits are divided into external structure information traits, data quality traits, data quantity traits, and internal information traits. Data traits-driven modeling framework based on multiple classifiers is proposed for solving credit risk assessment. Thirdly, considering the differences in data modeling methods, learning methods are classified into data status, label status, and structure form. Furthermore, model interpretability, model bias, model multi-pattern, and model fairness are discussed. Finally, the limitations and future research directions are presented. This review article serves as a helpful guide for researchers and practitioners in the field of credit risk modeling and analysis.",Classification algorithm | Credit risk assessment | Data trait | Learning method,0,0,,,NSFC,71433001,National Natural Science Foundation of China
1,2-s2.0-85169835723,10.1016/j.omega.2023.102945,S0305048323001093,,ERIUE: Evidential reasoning-based influential users evaluation in social networks,ar,Article,Wen T.,60026051,Alliance Manchester Business School,Manchester,United Kingdom,4,"Wen, Tao;Chen, Yu wang;Syed, Tahir abbas;Wu, Ting",57201034341;12807413800;57209338543;58562337300,60026051;60026051;60026051;60026051,2024-01-01,January 2024,Omega (United Kingdom),03050483,21915,,Journal,122,,102945,,"Social media users are playing an increasingly important role in disseminating information, but their ability to diffuse information may vary significantly. Therefore, evaluating the influential ability of users has become crucial to promote or curb the dissemination of specific information. Existing centrality measures have produced varying results in identifying the most influential users, but it remains a challenge to identify the most influential users in a multifaceted and consistent way in social networks, especially when only a limited number of users can be nominated. To fill this gap, this work developed an evidential reasoning-based influential users evaluation (ERIUE) model that considers multiple sources of structural information in networks. Our proposed model collates information about users’ influential ability from multiple forms of centrality measures and maps their scores to different grades in an informative belief distribution. To determine the weight of each centrality, three types of information are considered: conflict of belief distributions, similarity of probability sets, and overlap of evaluations. The information is aggregated using the recursive evidential reasoning approach based on a formulated criterion hierarchy, thereby determining the influential ability of users. The applicability of our proposed model is demonstrated by comparing it with existing measures in three real-world social networks. Our proposed model is also applicable to relevant problems beyond identifying influential users, including preventing epidemic spread, cascade failure, and misinformation dissemination in social networks.",Decision-making | Evidential reasoning | Influential users | Social network,0,1,publisherhybridgold,Hybrid Gold,ESRC,undefined,Economic and Social Research Council
2,2-s2.0-85168407761,10.1016/j.anucene.2023.110089,S0306454923004085,,"Application of Data-Driven technology in nuclear Engineering: Prediction, classification and design optimization",re,Review,Hong Q.,60003353;130098494,Harbin Engineering University;Marine Equipment Project Management Center,Harbin;Beijing,China;China,8,"Hong, Qiao;Jun, Ma;Bo, Wang;Sichao, Tan;Jiayi, Zhang;Biao, Liang;Tong, Li;Ruifeng, Tian",58543041000;58542931900;57395381300;57210745118;24776053600;58542932000;58542872900;55683914000,60003353;130098494;60003353;60003353;60003353;60003353;60003353;60003353,2023-12-15,15 December 2023,Annals of Nuclear Energy,03064549,29363,18732100,Journal,194,,110089,,"Currently, workers in nuclear power plants need to monitor plant data in real time. In the event of an emergency, due to human subjectivity, the operator cannot make accurate judgments on the instantaneous state of the nuclear power system based on experience alone, thus missing the best time for emergency repairs, which leads to accidents. This article is based on data-driven technology, for its application in the field of nuclear engineering preprocessing (missing value imputation, image denoising), prediction (critical heat flux prediction, prediction of parameters under LOCA accident, radiation concentration and radiation level prediction of nuclear power plant), classification (troubleshooting, flow pattern identification), design optimization (optimization of fuel loading mode in nuclear reactor core, design optimization of nuclear reactor radiation shielding) four aspects of review. Firstly, this paper finds that some models themselves have certain defects. Therefore, it is an important direction to select a relatively suitable algorithm for different problems in nuclear power plants. Secondly, in the prediction and classification of data-driven technology. Algorithmic models require a large amount of relevant data for training. However, due to the safety problems of the nuclear power plant itself, there are few abnormal data on accidents. Data-driven is a technology based on big data. The lack of real accident data will inevitably lead to inaccurate models. This paper reviews this aspect, and methods such as deep generative networks and separated data sets have good results. Finally, in terms of optimization techniques. Due to the many factors to be considered in the core fuel loading mode and reactor shielding design, conventional manual calculations are time-consuming and laborious. Genetic algorithm and particle swarm optimization are widely used in data-driven technology. Several variants have been developed in recent years. The application of some integrated models and the application of algorithm systems and frameworks for specific objects will have better results than using a single model. It is hoped that the above review content will provide an important reference for the design of nuclear power plants and the engineering application of data-driven technology in nuclear power.",AI technology | Classification | Optimization | Prediction,0,0,,,HEU,3072022CFJ1506,Harbin Engineering University
3,2-s2.0-85168452264,10.1038/s41598-023-40903-1,,37604957,Predicting California bearing ratio of HARHA-treated expansive soils using Gaussian process regression,ar,Article,Ahmad M.,60273396;60158065;60108639;60104814;60104698;60091164;60044065;60017351;60017103;60016775,"Faculty of Engineering &amp; Technology;CECOS University of IT &amp; Emerging Sciences;Al-Mustaqbal University College;University of Engineering and Technology, Peshawar;Al Baha University;Taif University;Yarmouk University;AGH University of Krakow;Peter the Great St. Petersburg Polytechnic University;International Islamic University Malaysia",New Cairo;Peshawar;Hillah;Peshawar;Al-Baha;Taif;Irbid;Krakow;Saint Petersburg;Kuala Lumpur,Egypt;Pakistan;Iraq;Pakistan;Saudi Arabia;Saudi Arabia;Jordan;Poland;Russian Federation;Malaysia,10,"Ahmad, Mahmood;Al-Zubi, Mohammad A.;Kubińska-Jabcoń, Ewa;Majdi, Ali;Al-Mansob, Ramez A.;Sabri, Mohanad Muayad Sabri;Ali, Enas;Naji, Jamil Abdulrabb;Elnaggar, Ashraf Y.;Zamin, Bakht",57223030841;55485452800;57224438666;58506479400;55566434500;57205074229;58544773200;58544773300;57225954708;55987294600,60016775-60104814;60044065;60017351;60108639;60016775;60017103;60273396;60104698;60091164;60158065,2023-12-01,December 2023,Scientific Reports,,21100200805,20452322,Journal,13,1,13593,,"The California bearing ratio (CBR) is one of the basic subgrade strength characterization properties in road pavement design for evaluating the bearing capacity of pavement subgrade materials. In this research, a new model based on the Gaussian process regression (GPR) computing technique was trained and developed to predict CBR value of hydrated lime-activated rice husk ash (HARHA) treated soil. An experimental database containing 121 data points have been used. The dataset contains input parameters namely HARHA—a hybrid geometrical binder, liquid limit, plastic limit, plastic index, optimum moisture content, activity and maximum dry density while the output parameter for the model is CBR. The performance of the GPR model is assessed using statistical parameters, including the coefficient of determination (R2), mean absolute error (MAE), root mean square error (RMSE), Relative Root Mean Square Error (RRMSE), and performance indicator (ρ). The obtained results through GPR model yield higher accuracy as compare to recently establish artificial neural network (ANN) and gene expression programming (GEP) models in the literature. The analysis of the R2 together with MAE, RMSE, RRMSE, and ρ values for the CBR demonstrates that the GPR achieved a better prediction performance in training phase with (R2 = 0.9999, MAE = 0.0920, RMSE = 0.13907, RRMSE = 0.0078 and ρ = 0.00391) succeeded by the ANN model with (R2 = 0.9998, MAE = 0.0962, RMSE = 4.98, RRMSE = 0.20, and ρ = 0.100) and GEP model with (R2 = 0.9972, MAE = 0.5, RMSE = 4.94, RRMSE = 0.202, and ρ = 0.101). Furthermore, the sensitivity analysis result shows that HARHA was the key parameter affecting the CBR.",,0,1,publisherfullgold,Gold,Minobrnauka,075-15-2021-1333,Ministry of Education and Science of the Russian Federation
4,2-s2.0-85164276561,10.1140/epjds/s13688-023-00402-9,,,Leveraging augmentation techniques for tasks with unbalancedness within the financial domain: a two-level ensemble approach,ar,Article,Ranjbaran G.,60105242;60103695;60032259;60004969,"Islamic Azad University, Science and Research Branch;European Commission Joint Research Centre;Università degli Studi di Cagliari;Università di Parma",Tehran;Brussels;Cagliari;Parma,Iran;Belgium;Italy;Italy,4,"Ranjbaran, Golshid;Reforgiato Recupero, Diego;Lombardo, Gianfranco;Consoli, Sergio",58479513000;57206674454;57201158248;24168054400,60105242;60032259;60004969;60103695,2023-12-01,December 2023,EPJ Data Science,,21100397403,21931127,Journal,12,1,24,,"Modern financial markets produce massive datasets that need to be analysed using new modelling techniques like those from (deep) Machine Learning and Artificial Intelligence. The common goal of these techniques is to forecast the behaviour of the market, which can be translated into various classification tasks, such as, for instance, predicting the likelihood of companies’ bankruptcy or in fraud detection systems. However, it is often the case that real-world financial data are unbalanced, meaning that the classes’ distribution is not equally represented in such datasets. This gives the main issue since any Machine Learning model is trained according to the majority class mainly, leading to inaccurate predictions. In this paper, we explore different data augmentation techniques to deal with very unbalanced financial data. We consider a number of publicly available datasets, then apply state-of-the-art augmentation strategies to them, and finally evaluate the results for several Machine Learning models trained on the sampled data. The performance of the various approaches is evaluated according to their accuracy, micro, and macro F1 score, and finally by analyzing the precision and recall over the minority class. We show that a consistent and accurate improvement is achieved when data augmentation is employed. The obtained classification results look promising and indicate the efficiency of augmentation strategies on financial tasks. On the basis of these results, we present an approach focused on classification tasks within the financial domain that takes a dataset as input, identifies what kind of augmentation technique to use, and then applies an ensemble of all the augmentation techniques of the identified type to the input dataset along with an ensemble of different methods to tackle the underlying classification.",Augmentation techniques | Ensemble method | Financial sector | Machine learning | Unbalanced data,0,1,publisherfullgold,Gold,EC,undefined,European Commission
5,2-s2.0-85160254579,10.1007/s12525-023-00644-5,,,Explainable artificial intelligence in information systems: A review of the status quo and future research directions,ar,Article,Brasse J.,60010586,Universität Ulm,Ulm,Germany,5,"Brasse, Julia;Broder, Hanna Rebecca;Förster, Maximilian;Klier, Mathias;Sigler, Irina",58288783000;58289563100;57217050037;14033262400;57222614907,60010586;60010586;60010586;60010586;60010586,2023-12-01,December 2023,Electronic Markets,10196781,19600157911,14228890,Journal,33,1,26,,"The quest to open black box artificial intelligence (AI) systems evolved into an emerging phenomenon of global interest for academia, business, and society and brought about the rise of the research field of explainable artificial intelligence (XAI). With its pluralistic view, information systems (IS) research is predestined to contribute to this emerging field; thus, it is not surprising that the number of publications on XAI has been rising significantly in IS research. This paper aims to provide a comprehensive overview of XAI research in IS in general and electronic markets in particular using a structured literature review. Based on a literature search resulting in 180 research papers, this work provides an overview of the most receptive outlets, the development of the academic discussion, and the most relevant underlying concepts and methodologies. Furthermore, eight research areas with varying maturity in electronic markets are carved out. Finally, directions for a research agenda of XAI in IS are presented.",Comprehensible artificial intelligence | Comprehensible machine learning | Explainable artificial intelligence | Explainable machine learning | Literature review,1,1,publisherhybridgold,Hybrid Gold,UULM,undefined,Universität Ulm
6,2-s2.0-85159139811,10.1007/s12525-023-00640-9,,,Explanation matters: An experimental study on explainable AI,ar,Article,Hamm P.,60031101;60030825;60020599;60012821,University of Cambridge;Hochschule Darmstadt;Universiteit Twente;EBS Universität für Wirtschaft und Recht,Cambridge;Darmstadt;Enschede;Oestrich-Winkel,United Kingdom;Germany;Netherlands;Germany,4,"Hamm, Pascal;Klesel, Michael;Coberger, Patricia;Wittmann, H. Felix",57326816600;57188807789;58246035600;58245562700,60012821;60020599;60030825;60031101,2023-12-01,December 2023,Electronic Markets,10196781,19600157911,14228890,Journal,33,1,17,,"Explainable artificial intelligence (XAI) is an important advance in the field of machine learning to shed light on black box algorithms and thus a promising approach to improving artificial intelligence (AI) adoption. While previous literature has already addressed the technological benefits of XAI, there has been little research on XAI from the user’s perspective. Building upon the theory of trust, we propose a model that hypothesizes that post hoc explainability (using Shapley Additive Explanations) has a significant impact on use-related variables in this context. To test our model, we designed an experiment using a randomized controlled trial design where participants compare signatures and detect forged signatures. Surprisingly, our study shows that XAI only has a small but significant impact on perceived explainability. Nevertheless, we demonstrate that a high level of perceived explainability has a strong impact on important constructs including trust and perceived usefulness. A post hoc analysis shows that hedonic factors are significantly related to perceived explainability and require more attention in future research. We conclude with important directions for academia and for organizations.",AI | Artificial intelligence | Experiment | Perception | XAI,0,1,repositoryvor,Green,,undefined,
7,2-s2.0-85146340455,10.1186/s40854-022-00418-6,,,Weighted-indexed semi-Markov model: calibration and application to financial modeling,ar,Article,De Blasis R.,60031624,Università Politecnica delle Marche,Ancona,Italy,1,"De Blasis, Riccardo",57194010817,60031624,2023-12-01,December 2023,Financial Innovation,,21100890672,21994730,Journal,9,1,35,,"We address the calibration issues of the weighted-indexed semi-Markov chain (WISMC) model applied to high-frequency financial data. Specifically, we propose to automate the discretization of the price returns and the volatility index by using four different approaches, two based on statistical quantities, namely, the quantile and sigma discretization, and two derived by the application of two popular machine learning algorithms, namely the k-means and Gaussian mixture model (GMM). Moreover, by comparing the Bayesian information criterion (BIC) scores, the GMM approach allows for the selection of the number of states of returns and index. An application to Bitcoin prices at 1-min and 1-s intervals shows the validity and usefulness of the proposed discretization approaches. In particular, GMM discretization is well suited for high-frequency returns, whereas the quantile approach works better for low-frequency intervals. Finally, by comparing the results of the Monte Carlo simulation, we show that the WISMC model, applied with the proposed discretization, can reproduce the long-range serial correlation of the squared returns, which is typical of the financial markets and, in particular, the cryptocurrency market.",Bitcoin | EWMA | GMM | k-means | Semi-Markov | WISMC,1,1,publisherfullgold,Gold,,undefined,
8,2-s2.0-85162084094,10.1016/j.eswa.2023.120760,S0957417423012629,,Fraud detection in capital markets: A novel machine learning approach,ar,Article,Yi Z.,60104225;60030840;60012954;60007029;60004572,Jiangxi University of Science and Technology;Københavns Universitet;Oulun Yliopisto;Jiangnan University;Swansea University,Ganzhou;Copenhagen;Oulu;Wuxi;Swansea,China;Denmark;Finland;China;United Kingdom,8,"Yi, Ziwei;Cao, Xinwei;Pu, Xujin;Wu, Yiding;Chen, Zuyan;Khan, Ameer Tamoor;Francis, Adam;Li, Shuai",58317237600;57215652987;12762986900;55656087500;57216786418;57218327607;57222285971;55986486700,60104225;60007029;60007029;60104225;60004572;60030840;60004572;60012954,2023-11-30,30 November 2023,Expert Systems with Applications,09574174,24201,,Journal,231,,120760,,"Traditional auditing methods require collating massive amounts of financial indicators and related transaction data, which can be labor-intensive. Typical machine learning models are relatively weak for imbalanced data, and this work aims to focus on a novel approach to fraud detection. This paper presents a fraud detection framework via adopting a machine learning method integrated with a recently proposed meta-heuristics algorithm Egret Swarm Optimization Algorithm (ESOA). A cost-sensitive objective function and loss function were then constructed, and a non-linear model was used to map the predicted values into the labels of 0 (non-fraud) and 1 (fraud). In the experiment section, an AAER benchmark dataset collected by the UCB's Center for Financial Reporting and Management is utilized to verify the performance of the proposed approach. A detailed comparison with recently proposed state-of-the-art algorithms such as Logit (67.20%), SVM-FK (62.60%), RUSBoost (72.60%), as well as BAS (84.90%) indicates that ESOA (96.27%) outperforms the other algorithms in terms of Accuracy (ACC), Sensitivity (SEN), Precision (PREC), and Area Under the Curve (AUC) metrics. To our knowledge, this is the highest fraud detection accuracy reported in the existing literature.",Egret Swarm Optimization Algorithm | ESOA | Fraud detection | Listed corporates | Machine learning,0,0,,,,72271109,
9,2-s2.0-85159121420,10.1016/j.ejor.2023.04.034,S037722172300317X,,Bayesian learning in performance. Is there any?,ar,Article,Tsionas M.G.,60116749,Lancaster University Management School,Lancaster,United Kingdom,1,"Tsionas, Mike G.",57190842582,60116749,2023-11-16,16 November 2023,European Journal of Operational Research,03772217,22489,,Journal,311,1,,263-282,"We propose and implement a Bayesian learning model for performance. The model implies a specific distribution for performance / technical inefficiency which we exploit in the context of stochastic frontier models. As the theoretical model is ambiguous with respect to what constitutes existing “experience”, we propose and implement alternative specifications. The estimation and inference techniques are based on Bayesian analysis using Markov Chain Monte Carlo methods. We apply the new techniques to a data set of large U.S. banks. Our findings indicate that there is some learning in technical inefficiency although there is limited evidence, if at all, that jumps in experience are related to productivity growth. However, this effect is distinctly pronounced for the 2007–2010 period but much less significant afterwards.",Bayesian Learning | Bayesian methods | Markov Chain Monte Carlo | Performance Estimation | Productivity and Efficiency,0,1,repositoryam,Green,,undefined,
