,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
0,2-s2.0-85136253790,10.1007/s00180-022-01273-w,,,On the estimation of partially observed continuous-time Markov chains,ar,Article,Riva-Palacio A.,60032442;60013372,Universidad Nacional Autónoma de México;The University of Texas at Austin,Mexico;Austin,Mexico;United States,3,"Riva-Palacio, Alan;Mena, Ramsés H.;Walker, Stephen G.",57201994963;10040007900;55762472400,60032442;60032442;60013372,2023-09-01,September 2023,Computational Statistics,09434062,28930,16139658,Journal,38,3,,1357-1389,"Motivated by the increasing use of discrete-state Markov processes across applied disciplines, a Metropolis–Hastings sampling algorithm is proposed for a partially observed process. Current approaches, both classical and Bayesian, have relied on imputing the missing parts of the process and working with a complete likelihood. However, from a Bayesian perspective, the use of latent variables is not necessary and exploiting the observed likelihood function, combined with a suitable Markov chain Monte Carlo method, results in an accurate and efficient approach. A comprehensive comparison with simulated and real data sets demonstrate our approach when compared with alternatives available in the literature.",Bayesian estimation | Credit risk scoring | Transition matrix,0,0,,,"DGAPA, UNAM",IG100221,"Dirección General de Asuntos del Personal Académico, Universidad Nacional Autónoma de México"
1,2-s2.0-85127255520,10.1111/itor.13137,,,Efficient credit portfolios under IFRS 9,ar,Article,Brito R.P.,60117238;60028300;124875873,Centre for Business and Economics Research (CeBER);Iscte – Instituto Universitário de Lisboa;Caixa Económica Montepio Geral,Coimbra;Lisbon;Lisbon,Portugal;Portugal;Portugal,2,"Brito, Rui Pedro;Júdice, Pedro",56437367800;55858631900,60117238;60028300-124875873,2023-09-01,September 2023,International Transactions in Operational Research,09696016,9700153238,14753995,Journal,30,5,,2453-2484,"In this paper, we devise a forward-looking methodology to determine efficient credit portfolios under the IFRS 9 framework. We define and implement a credit loss model based on prospective point-in-time probabilities of default. We determine these probabilities of default and the credits' stage allocation through a credit stochastic simulation. This simulation is based on the estimation of transition matrices. Using data from 1981 to 2019, in a non-homogeneous Markov chain setting, we estimate transition matrices conditional on the global real gross domestic product growth. This allows considering the effects of the economic cycle, which are of great importance in bank management. Finally, we develop a robust optimization model that allows the bank manager to analyze the trade-off between the annual average portfolio income and the corresponding portfolio volatility. According to the proposed bi-objective model, we compute the efficient credit portfolios constructed based on 10-year maturity credits. We compare their structure to those generated by the IAS 39 and CECL accounting frameworks. The results indicate that the IFRS 9 and CECL frameworks generate efficient credit portfolios whose structure penalizes riskier-rated credits. In turn, the riskier efficient credit portfolios under the IAS 39 framework concentrate entirely on speculative-grade credits. This pattern is also encountered in efficient credit portfolios constructed based on credits with different maturities, namely 5 and 15 years. Moreover, the longer the maturity of the credits that enter into the composition of the efficient portfolios, the more the speculative-grade credits tend to be penalized.",CECL | credit risk | IAS 39 | IFRS 9 | stochastic simulation | transition matrices,0,0,repositoryam,Green,FCT,CEECIND/01010/2017,Fundação para a Ciência e a Tecnologia
2,2-s2.0-85168653924,10.3390/axioms12080782,,,Pricing of Credit Risk Derivatives with Stochastic Interest Rate,ar,Article,Lv W.,60010953,Donghua University,Shanghai,China,2,"Lv, Wujun;Tian, Linlin",56147596500;57205574082,60010953;60010953,2023-08-01,August 2023,Axioms,,21100830706,20751680,Journal,12,8,782,,"This paper deals with a credit derivative pricing problem using the martingale approach. We generalize the conventional reduced-form credit risk model for a credit default swap market, assuming that the firms’ default intensities depend on the default states of counterparty firms and that the stochastic interest rate follows a jump-diffusion Cox–Ingersoll–Ross process. First, we derive the joint Laplace transform of the distribution of the vector process (Formula presented.) by applying piecewise deterministic Markov process theory and martingale theory. Then, using the joint Laplace transform, we obtain the explicit pricing of defaultable bonds and a credit default swap. Lastly, numerical examples are presented to illustrate the dynamic relationships between defaultable securities (defaultable bonds, credit default swap) and the maturity date.",credit default swap (CDS) | defaultable bonds | jump-diffusion CIR (JCIR) model | martingale theory | piecewise deterministic Markov process theory | reduced-form model,0,1,publisherfullgold,Gold,,2232021D-29,Fundamental Research Funds for the Central Universities
3,2-s2.0-85127525305,10.1016/j.eswa.2022.117013,S0957417422004316,,Deep reinforcement learning with the confusion-matrix-based dynamic reward function for customer credit scoring,ar,Article,Wang Y.,60128181;60017244,Business School of Sichuan University;Southwest Petroleum University China,Chengdu;Chengdu,China;China,4,"Wang, Yadong;Jia, Yanlin;Tian, Yuhang;Xiao, Jin",57224115864;55793383200;57210190357;56373722900,60128181;60017244;60128181;60128181,2022-08-15,15 August 2022,Expert Systems with Applications,09574174,24201,,Journal,200,,117013,,"Customer credit scoring is a dynamic interactive process. Simply designing the static reward function for deep reinforcement learning may be difficult to guide an agent to adapt to the change of the customer credit scoring environment. To solve this problem, we propose the deep Q-network with the confusion-matrix-based dynamic reward function (DQN-CMDRF) model. Especially, the new constructed dynamic reward function can adjust the reward dynamically according to the change of confusion matrix after each deep Q-network model training, which can guide the agent to adapt to the change of environment quickly, so as to improve the customer credit scoring performance of the deep Q-network model. First, we formulate customer credit scoring as a finite Markov decision process. Second, to adjust the reward dynamically according to the customer credit scoring environment, the dynamic reward function is designed based on the confusion matrix. Finally, we introduce the confusion-matrix-based dynamic reward function into the deep Q-network model for customer credit scoring. To verify the effectiveness of the proposed model, we introduce four evaluation measures and make a series of experiments on the five customer credit scoring datasets. The experimental results show that the constructed dynamic reward function can more effectively improve customer credit scoring performance of the deep Q-network model, and the performance of the DQN-CMDRF model is significantly better than that of the other eight traditional classification models. More importantly, we find that the constructed dynamic reward function can accelerate the convergence speed and improve the stability of the deep Q-network model.",Confusion matrix | Customer credit scoring | Deep Q-network | Deep reinforcement learning | Dynamic reward function,15,0,,,NSFC,PXM2021-178216-000002,National Natural Science Foundation of China
4,2-s2.0-85127447384,10.1145/3502432,,,Importance Sampling for a Simple Markovian Intensity Model Using Subsolutions,ar,Article,Djehiche B.,60002014,The Royal Institute of Technology (KTH),Stockholm,Sweden,3,"Djehiche, Boualem;Hult, Henrik;Nyquist, Pierre",6602166489;6507038215;56979148800,60002014;60002014;60002014,2022-04-01,April 2022,ACM Transactions on Modeling and Computer Simulation,10493301,23054,15581195,Journal,32,2,14,,"This article considers importance sampling for estimation of rare-event probabilities in a specific collection of Markovian jump processes used for, e.g., modeling of credit risk. Previous attempts at designing importance sampling algorithms have resulted in poor performance and the main contribution of the article is the design of efficient importance sampling algorithms using subsolutions. The dynamics of the jump processes cause the corresponding Hamilton-Jacobi equations to have an intricate state-dependence, which makes the design of efficient algorithms difficult. We provide theoretical results that quantify the performance of importance sampling algorithms in general and construct asymptotically optimal algorithms for some examples. The computational gain compared to standard Monte Carlo is illustrated by numerical examples.",Credit risk | Importance sampling | Large deviations | Markovian intensity models | Monte Carlo,0,0,repositoryam,Green,VR,VR-2018-07050,Göran Gustafssons Stiftelser
5,2-s2.0-85116901340,10.1016/j.cam.2021.113848,S0377042721004714,,Time-consistent evaluation of credit risk with contagion,ar,Article,Ketelbuters J.J.,60000874,Université Catholique de Louvain,Louvain-la-Neuve,Belgium,2,"Ketelbuters, John John;Hainaut, Donatien",57226120000;22834241300,60000874;60000874,2022-03-15,15 March 2022,Journal of Computational and Applied Mathematics,03770427,23847,,Journal,403,,113848,,"A time-consistent evaluation is a dynamic pricing method according to which a risk that will be almost surely cheaper than another one at a future date should already be cheaper today. Common actuarial pricing approaches are usually not time-consistent. Pelsser and Ghalehjooghi (2016) derived time-consistent valuation principles from time-inconsistent ones. The aim of this paper is twofold. Firstly, we propose a model for credit insurance portfolios taking into account the contagion risk via self-exciting jump processes. Secondly, we extend the approach of Pelsser and Ghalehjooghi to credit insurance in this framework. Starting from classical time-inconsistent actuarial pricing methods, we derive partial integro-differential equations (PIDE) for their time-consistent counterparts. We discuss numerical methods for solving these PIDEs and their results. We draw two conclusions from these results. On the one hand, we show that time-consistent evaluations tend to give higher prices, compared to time-inconsistent evaluations. On the other hand, our results show that the time-consistency of evaluations allows to better take into account the risk of contagion in credit insurance, if such a risk exists. Finally, we propose a method to calibrate our model and use it in practice.",Credit risk | Self-exciting processes | Time-consistency,2,0,repositoryam,Green,FNRS,33658713,Fonds De La Recherche Scientifique - FNRS
6,2-s2.0-85124169983,,,,"International Conference on Information, Communication and Cybersecurity, ICI2C 2021",cr,Conference Review,,,,,,,,,,2022-01-01,2022,Lecture Notes in Networks and Systems,23673370,21100901469,23673389,Book Series,357 LNNS,,,,"The proceedings contain 54 papers. The special focus in this conference is on Information, Communication and Cybersecurity. The topics include: Metadata Quality in the Era of Big Data and Unstructured Content; weather Forecast Using Sliding Window Algorithm Based on Hadoop and MapReduce; semantic Web Technologies for Internet of Things Semantic Interoperability; composition of Large Modular Ontologies Based on Structure; detection and Prediction Using Similar Trajectory Measurements; Classification of Arrhythmias from ECG Using Fractal Dimensions and Wavelet Theory; benchmarking Classification Algorithms for Measuring the Performance on Maintainable Applications; application of Machine Learning Techniques for Credit Risk Management: A Survey; Applying Advanced IoT Network Topologies to Enhance Intelligent City Transportation Cost Based on a Constrained and Secured Applicative IoT CoAP Protocol; a Minimum and Maximum of Regional Information Method to Improve the Sobel Edge Detector; Applying Lightweight Elliptic Curve Cryptography ECC to Smart Energy IoT Platforms Based on the CoAP Protocol; service Selection in Cloud Computing Environment by Using Cuckoo Search; markov Decision Processes with Discounted Rewards: Improved Successive Over-Relaxation Method; speech Spectral Subtraction in Modulation Domain; COBIT 5 Concepts: Towards the Development of an Ontology Model; a Systematic Study on Tertiary Level Student Tuition Fee Waiver Management During Pandemic Using Machine Learning Approaches; towards a Model of Self-regulated e-learning and Personalization of Resources; the Preferences and Expectation of Moroccan Teachers from Learning Analytics Dashboards in a Blended Learning Environment: Empirical Study; towards a Smart City Stakeholders Classification: Case of Casablanca Smart City Project; emerging Learning Environments and Technologies Post Covid-19 Pandemic: What’s Next?.",,0,0,,,,undefined,
7,2-s2.0-85112863934,10.1145/3473714.3473839,,,Research on the scientific financial planning of bank customers,cp,Conference Paper,Fan L.,60003030,Chongqing Jiaotong University,Chongqing,China,2,"Fan, Lidan;Zhao, Sifan",57223043273;57223049615,60003030;60003030,2021-06-18,18 June 2021,ACM International Conference Proceeding Series,,11600154611,,Conference Proceeding,,,,721-725,"Customers of the bank will have demands for various services of the bank. Of course the bank will design different portfolio products to deliver services according to the demand. It deserves to be solved how to find the most appropriate combined service ratio to make the bank's business delivery more accurate and make the bank's service delivery ratio match the number of people using the service in each period. This paper uses the annual interest table data of each product of the bank and combines the portfolio optimization model to study the credit risk and financial planning of bank customers. The results show that for customers with different risk tendencies, the proportion of their investment in deposits and financial products is significantly different. The discriminant model is used to classify product customers and get high quality customers. Focus on the high quality customers with risk preference (10%, 59.15%, 30.85%) and risk aversion (42.72%, 21.34%, 35.94%). At the same time, consider the proportion of deposit, consumption and financial management products to make the forecast. Extracting the data related to the transformation between some account operations, using the Markov process to solve the ratio between products changing with time. The results are as follows: deposit accounts for 39.55%, consumption accounts for 38.57% and financial management accounts for 21.88%. This model establishes the relationship between risk preference and financial products, which has empirical value for the bank's product placement and the identification of customers' service tendency.",Discriminant model | Investment and financial management model | Markov forecast | Pattern recognition,0,0,,,NNSFC,"11961024,11801047",National Natural Science Foundation of China
8,2-s2.0-85117990743,,,,Model updating after interventions paradoxically introduces bias,cp,Conference Paper,Liley J.,60163091;60111768;60022175;60022106;60021923;60012914,"Faculty of Science, Engineering and Medicine;The Alan Turing Institute;Durham University;Wellcome Trust;King's College Hospital;MRC Human Genetics Unit",Coventry;London;Durham;London;London;Edinburgh,United Kingdom;United Kingdom;United Kingdom;United Kingdom;United Kingdom;United Kingdom,6,"Liley, James;Emerson, Samuel R.;Mateen, Bilal A.;Vallejos, Catalina A.;Aslett, Louis J.M.;Vollmer, Sebastian J.",56543277400;57222573389;57192091216;57038529000;56196813200;57843571000,60111768-60012914;60022175;60111768-60021923-60022106;60111768-60012914;60111768-60022175;60111768-60163091,2021-01-01,2021,Proceedings of Machine Learning Research,,21101153015,26403498,Conference Proceeding,130,,,3916-3924,"Machine learning is increasingly being used to generate prediction models for use in a number of real-world settings, from credit risk assessment to clinical decision support. Recent discussions have highlighted potential problems in the updating of a predictive score for a binary outcome when an existing predictive score forms part of the standard workflow, driving interventions. In this setting, the existing score induces an additional causative pathway which leads to miscalibration when the original score is replaced. We propose a general causal framework to describe and address this problem, and demonstrate an equivalent formulation as a partially observed Markov decision process. We use this model to demonstrate the impact of such 'naive updating' when performed repeatedly. Namely, we show that successive predictive scores may converge to a point where they predict their own effect, or may eventually tend toward a stable oscillation between two values, and we argue that neither outcome is desirable. Furthermore, we demonstrate that even if model-fitting procedures improve, actual performance may worsen. We complement these findings with a discussion of several potential routes to overcome these issues.",,5,0,,,ATI,EP/T001569/1,Alan Turing Institute
9,2-s2.0-85060842442,10.1017/S0269964818000578,S0269964818000578,,Diffusion Limits for A Markov Modulated Binomial Counting Process,ar,Article,Spreij P.,60016529;60010368;60008734,Radboud Universiteit;Korteweg-de Vries Instituut voor Wiskunde;Vrije Universiteit Amsterdam,Nijmegen;Amsterdam;Amsterdam,Netherlands;Netherlands;Netherlands,2,"Spreij, Peter;Storm, Jaap",13605933100;57205632631,60010368-60016529;60008734,2020-04-01,1 April 2020,Probability in the Engineering and Informational Sciences,02699648,15810,14698951,Journal,34,2,,235-257,"In this paper, we study limit behavior for a Markov-modulated binomial counting process, also called a binomial counting process under regime switching. Such a process naturally appears in the context of credit risk when multiple obligors are present. Markov-modulation takes place when the failure/default rate of each individual obligor depends on an underlying Markov chain. The limit behavior under consideration occurs when the number of obligors increases unboundedly, and/or by accelerating the modulating Markov process, called rapid switching. We establish diffusion approximations, obtained by application of (semi)martingale central limit theorems. Depending on the specific circumstances, different approximations are found.",central limit theorems | counting process | functional limit theorems | Markov-modulated process,1,0,repositoryam,Green,,undefined,
