,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
0,2-s2.0-85171734193,10.1016/j.eswa.2023.121484,S0957417423019863,,"Consumer credit risk assessment: A review from the state-of-the-art classification algorithms, data traits, and learning methods",re,Review,Zhang X.,60128181;60028275;114930335,Business School of Sichuan University;Jiangxi University of Finance and Economics;Shenzhen Institute of Technology,Chengdu;Nanchang;Shenzhen,China;China;China,2,"Zhang, Xiaoming;Yu, Lean",58537911800;57318182500,60028275;60128181-114930335,2024-03-01,1 March 2024,Expert Systems with Applications,09574174,24201,,Journal,237,,121484,,"Credit risk assessment is a crucial element in credit risk management. With the extensive research on consumer credit risk assessment in recent decades, the abundance of literature on this topic can be overwhelming for researchers. Therefore, this article aims to provide a more systematic and comprehensive analysis from three perspectives: classification algorithms, data traits, and learning methods. Firstly, the state-of-the-art classification algorithms are categorized into traditional single classifiers, intelligent single classifiers, hybrid and ensemble multiple classifiers. Secondly, considering the diversity of data traits in the credit dataset, data traits are divided into external structure information traits, data quality traits, data quantity traits, and internal information traits. Data traits-driven modeling framework based on multiple classifiers is proposed for solving credit risk assessment. Thirdly, considering the differences in data modeling methods, learning methods are classified into data status, label status, and structure form. Furthermore, model interpretability, model bias, model multi-pattern, and model fairness are discussed. Finally, the limitations and future research directions are presented. This review article serves as a helpful guide for researchers and practitioners in the field of credit risk modeling and analysis.",Classification algorithm | Credit risk assessment | Data trait | Learning method,0,0,,,NSFC,71433001,National Natural Science Foundation of China
1,2-s2.0-85171200111,10.1016/j.csda.2023.107853,S0167947323001640,,Probability of default estimation in credit risk using mixture cure models,re,Review,Peláez R.,60025063;60023610;60001741,KU Leuven;Universidade da Coruña;Universidad Carlos III de Madrid,3000 Leuven;A Coruna;Getafe,Belgium;Spain;Spain,4,"Peláez, Rebeca;Van Keilegom, Ingrid;Cao, Ricardo;Vilar, Juan M.",57678887300;6701707557;7103341400;57678284700,60001741;60025063;60023610;60023610,2024-01-01,January 2024,Computational Statistics and Data Analysis,01679473,28461,,Journal,189,,107853,,"An estimator of the probability of default (PD) in credit risk is proposed. It is derived from a nonparametric conditional survival function estimator based on cure models. Asymptotic expressions for the bias and the variance, as well as the asymptotic normality of the proposed estimator are presented. A simulation study shows the performance of the nonparametric estimator compared with Beran's PD estimator and other semiparametric methods. Finally, an empirical study based on modified real data illustrates the practical behaviour.",Censored data | Kernel method | Nonparametric estimation | Survival analysis,0,1,,,ERC,2016-2022,European Research Council
2,2-s2.0-85169788127,10.1016/j.eswa.2023.121220,S0957417423017220,,Artificial Intelligence risk measurement,ar,Article,Giudici P.,60015197;129695221;124484661,Università degli Studi di Pavia;Credito Emiliano;Independent,Pavia;;Parma,Italy;Italy;Italy,3,"Giudici, Paolo;Centurelli, Mattia;Turchetta, Stefano",23491813000;58257721600;58257721700,60015197;129695221;124484661,2024-01-01,January 2024,Expert Systems with Applications,09574174,24201,,Journal,235,,121220,,"Financial institutions are increasingly leveraging on advanced technologies, facilitated by the availability of Machine Learning methods that are being integrated into several applications, such as credit scoring, anomaly detection, internal controls and regulatory compliance. Despite their high predictive accuracy, Machine Learning models may not provide sufficient explainability, robustness and/or fairness; therefore, they may not be trustworthy for the involved stakeholders, such as business users, auditors, regulators and end-customers. To measure the trustworthiness of AI applications, we propose the first Key AI Risk Indicators (KAIRI) framework for AI systems, considering financial services as a reference industry. To this aim, we map the recently proposed regulatory requirements proposed for Artificial Intelligence Act into a set of four measurable principles (Sustainability, Accuracy, Fairness, Explainability) and, for each of them, we propose a set of interrelated statistical metrics that can be employed to measure, manage and mitigate the risks that arise from artificial intelligence. We apply the proposed framework to a collection of case studies, that have been indicated as highly relevant by the European financial institutions we interviewed during our research activities. The results from data analysis indicate that the proposed framework can be employed to effectively measure AI risks, thereby promoting a safe and trustworthy AI in finance.",Accuracy | Explainability | Fairness | Financial risk management | Machine learning | Sustainability,0,1,publisherhybridgold,Hybrid Gold,,101016233,
3,2-s2.0-85171258161,10.1016/j.heliyon.2023.e19141,S2405844023063491,,Liquidity creation and bank risk-taking: Evidence from a transition market,ar,Article,Vuong G.T.H.,60176587;60078563;130204236;122557526,Banking University - Ho Chi Minh City;Ton-Duc-Thang University;Asia Commercial Bank;Sai Gon Thuong Tin Commercial Joint Stock Bank,Ho Chi Minh City;Ho Chi Minh City;Ho Chi Minh City;Ho Chi Minh City,Viet Nam;Viet Nam;Viet Nam;Viet Nam,5,"Vuong, Giang Thi Huong;Phan, Phuong Thi Thanh;Nguyen, Cuong Xuan;Nguyen, Danh Minh;Duong, Khoa Dang",57287498300;57222809221;58577850300;57224876429;57410146900,60176587;60078563;130204236;122557526;60078563,2023-09-01,September 2023,Heliyon,24058440,21100411756,,Journal,9,9,e19141,,"This study contributes to the banking literature by examining the effect of bank liquidity creation on bank risk-taking behaviors in Vietnam - a transition economy. Our data sample comprises 367 observations of 33 Vietnamese commercial banks from 2009 to 2020. We employ the Bias-corrected Least-Squares with Dummy Variables (LSDVC) estimation, which performs better than other dynamic estimators in small and unbalanced panel samples. In this research, bank risk primarily represents non-performing loans (NPLs). Empirical results show that bank liquidity creation significantly reduces NPLs. Otherwise, bank funding diversification significantly increases NPLs in Vietnamese commercial banks. Our findings are robust to alternative measurements of liquidity creation and bank risk. Additionally, we show the moderating role of bank scale in the effects of liquidity creation and funding diversification on bank risk-taking in Vietnamese banks. Our paper is the first research investigating the influence of liquidity creation on bank risk-taking in the specified situation of a transition economy. Besides, it provides empirical evidence to fill the existing research gap. Further, this study provides a list of implications for bank managers and policymakers to manage credit risks and improve the stability of the Vietnamese banking system.",Bank funding diversity | Bank liquidity creation | Non-performing loans (NPLs) | Vietnam,0,1,publisherfullgold,Gold,,undefined,
4,2-s2.0-85166902186,10.1016/j.jbankfin.2023.106971,S0378426623001693,,Firm life cycle and cost of debt,ar,Article,Amin A.,60187501;60116255;60009841;60006341;116706735,Macquarie Business School;C. T. Bauer College of Business;Central Michigan University;Universität Mannheim;Mercer University,North Ryde;Houston;Mount Pleasant;Mannheim;Mercer,Australia;United States;United States;Germany;United States,5,"Amin, Abu;Bowler, Blake;Hasan, Mostafa Monzur;Lobo, Gerald J.;Tresl, Jiri",55279974000;57226075518;56489515600;10142124700;8911081900,60009841;116706735;60187501;60116255;60006341,2023-09-01,September 2023,Journal of Banking and Finance,03784266,17472,,Journal,154,,106971,,"Theory provides several channels linking the corporate life cycle and lending risks. Using a sample of 20,307 firm-loan observations spanning 5,076 publicly traded U.S. firms, we find an economically significant relationship between firm life cycle stage and lending spreads. Based on the Owen and Yawson (2010) life cycle stage classification, young firms are expected to pay at least 15 bps more than mature firms, whereas mature firms pay at least 11 bps more than old firms. According to the Dickinson (2011) cash flow classification, firms in the introduction and decline phases pay lending spreads that are 6 and 12 percent greater than firms in the mature phase. We explore omitted variables bias and instrumental variable estimation in robustness testing to alleviate endogeneity concerns. A mechanism analysis shows that credit risk, systematic risk, and idiosyncratic risk follow the corporate life pattern in accordance with loan spreads, suggesting that banks charge a premium to compensate for risk. Our results support the theoretical prediction that structural changes occur as firms evolve across the corporate life cycle.",Bank loans | Cost of debt | Firm life cycle | Risk,1,1,repositoryam,Green,CMU,19–20771S,Central Michigan University
5,2-s2.0-85121759194,10.1177/1471082X211057610,,,Dynamic modelling of corporate credit ratings and defaults,ar,Article,Vana L.,60000583,Wirtschaftsuniversität Wien,Vienna,Austria,2,"Vana, Laura;Hornik, Kurt",56912239400;7003276131,60000583;60000583,2023-08-01,August 2023,Statistical Modelling,1471082X,144935,14770342,Journal,23,4,,357-375,"In this article, we propose a longitudinal multivariate model for binary and ordinal outcomes to describe the dynamic relationship among firm defaults and credit ratings from various raters. The latent probability of default is modelled as a dynamic process which contains additive firm-specific effects, a latent systematic factor representing the business cycle and idiosyncratic observed and unobserved factors. The joint set-up also facilitates the estimation of a bias for each rater which captures changes in the rating standards of the rating agencies. Bayesian estimation techniques are employed to estimate the parameters of interest. Several models are compared based on their out-of-sample prediction ability and we find that the proposed model outperforms simpler specifications. The joint framework is illustrated on a sample of publicly traded US corporates which are rated by at least one of the credit rating agencies S&P, Moody's and Fitch during the period 1995–2014.",Bayesian inference | credit ratings | Credit risk modelling | default probability | longitudinal model | multivariate ordinal data,0,1,repositoryam,Green,,undefined,
6,2-s2.0-85169322008,10.1177/21582440231189693,,,Modeling Tenant’s Credit Scoring Using Logistic Regression,ar,Article,Ling K.S.,60090656;130132774,Universiti Tun Hussein Onn Malaysia;Homiee Resources Sdn. Bhd,Batu Pahat;Subang Jaya,Malaysia;Malaysia,4,"Ling, Kim Sia;Jamaian, Siti Suhana;Mansur, Syahira;Liew, Alwyn Kwan Hoong",57245178500;37016249500;55669906600;58556941700,60090656;60090656;60090656;130132774,2023-07-01,July-September 2023,SAGE Open,,21100255401,21582440,Journal,13,3,,,"This study implements the multivariable logistic regression to develop a credit scoring model based on tenants’ characteristics. The credit history of tenant is not considered. Rental information of tenants was collected from a landlord company in Malaysia. Parameters of the multivariable logistic regression were estimated by using the penalized maximum likelihood estimation with ridge regression since separation in training data was detected. The initial factors considered that affect tenants’ credit score were their gender, age, marital status, monthly income, household income, expense-to-income ratio, number of dependents, previous monthly rent, and number of months late payment. However, the marital status factor was then excluded from the logistic regression model due to its low significance to the model. Meanwhile, a tenant’s credit scoring model was generated by calculating the tenant’s probability of defaulting. The main factors of the tenant’s credit score are the number of months late payment, the expense-to-income ratio, gender, previous monthly rent, and age. There is no underfitting or overfitting in the proposed credit scoring model which means the model’s bias and variance are low.",credit scoring | logistic regression | penalized maximum likelihood,0,1,publisherfullgold,Gold,MOHE,FRGS/1/2021/STG06/UTHM/02/1,"Ministry of Higher Education, Malaysia"
7,2-s2.0-85165553495,10.1016/j.intfin.2023.101803,S1042443123000719,,Sovereign Credit Default Swaps and the Currency Forward Bias,ar,Article,Calice G.,60017317;60001359;60000891,University of Sussex;University of Essex;Loughborough University,Brighton;Colchester;Loughborough,United Kingdom;United Kingdom;United Kingdom,2,"Calice, Giovanni;Lin, Ming Tsung",37761056200;57200309348,60000891;60001359-60017317,2023-07-01,July 2023,"Journal of International Financial Markets, Institutions and Money",10424431,17531,,Journal,86,,101803,,"We study the links between sovereign credit risk and the currency forward bias. In a setting of defaultable sovereign bonds, we show that the forward bias can be negatively linked to sovereign credit risk. We confirm empirically that the forward bias is negatively associated to sovereign CDS spreads and systematically across both developed and emerging countries but the effect is more pronounced for emerging countries. Furthermore, we show that the forward bias decreases after the inception of the sovereign CDS market. Overall, our results underscore the distinct role of the sovereign CDS market in enhancing price efficiency in currency forward and spot markets.",Forward bias | Forward premium puzzle | Sovereign credit default swap | Sovereign credit risk | Uncovered interest rate parity,0,1,publisherhybridgold,Hybrid Gold,,undefined,
8,2-s2.0-85143531608,10.1016/j.ejor.2022.10.022,S0377221722008104,,Joint models for longitudinal and discrete survival data in credit scoring,ar,Article,Medina-Olivares V.,60176142;60027272,University of Edinburgh Business School;The University of Edinburgh,Edinburgh;Edinburgh,United Kingdom;United Kingdom,4,"Medina-Olivares, Victor;Calabrese, Raffaella;Crook, Jonathan;Lindgren, Finn",57225198872;35147609600;55207974600;26663099700,60176142;60176142;60176142;60027272,2023-06-16,16 June 2023,European Journal of Operational Research,03772217,22489,,Journal,307,3,,1457-1473,"The inclusion of time-varying covariates into survival analysis has led to better predictions of the time to default in behavioural credit scoring models. However, when these time-varying covariates are endogenous, there are two major problems: estimation bias of the survival model and lack of a prediction framework for future values of both the event and the endogenous time-varying covariates. Joint models for longitudinal and survival data is an appropriate framework to model the mutual evolution of the survival time and the endogenous time-varying covariates. To the best of our knowledge, this paper explores for the first time the application of discrete-time joint models to credit scoring. Moreover, we propose a novel extension to the joint model literature by including autoregressive terms in modelling the endogenous time-varying covariates. We present the method via simulations and by applying it to US mortgage loans. The empirical analysis shows, first, that discrete joint models can increase the discrimination performance compared to survival models. Second, when an autoregressive term is included, this performance can be further improved.",Autoregressive process | Bayesian joint models | Discrete time | OR in banking,3,1,repositoryvor,Green,ESRC,ES/W010259/1,Economic and Social Research Council
9,2-s2.0-85162891648,10.1145/3555041.3589682,,,Proactively Screening Machine Learning Pipelines with ARGUSEYES,cp,Conference Paper,Schelter S.,60025858;60009982;60002483,ETH Zürich;Harvard University;Universiteit van Amsterdam,"Zurich ZH,;Cambridge;Amsterdam",Switzerland;United States;Netherlands,5,"Schelter, Sebastian;Grafberger, Stefan;Guha, Shubha;Karlaš, Bojan;Zhang, Ce",55387078400;57209510050;57225017755;57205171983;58502033600,60002483;60002483;60002483;60009982;60025858,2023-06-04,4 June 2023,Proceedings of the ACM SIGMOD International Conference on Management of Data,07308078,30611,,Conference Proceeding,,,,91-94,"Software systems that learn from data with machine learning (ML) are ubiquitous. ML pipelines in these applications often suffer from a variety of data-related issues, such as data leakage, label errors or fairness violations, which require reasoning about complex dependencies between their inputs and outputs. These issues are usually only detected in hindsight after deployment, after they caused harm in production. We demonstrate ArgusEyes, a system which enables data scientists to proactively screen their ML pipelines for data-related issues as part of continuous integration. ArgusEyes instruments, executes and screens ML pipelines for declaratively specified pipeline issues, and analyzes data artifacts and their provenance to catch potential problems early before deployment to production. We demonstrate our system for three scenarios: detecting mislabeled images in a computer vision pipeline, spotting data leakage in a price prediction pipeline, and addressing fairness violations in a credit scoring pipeline.",data validation | machine learning pipelines | provenance tracking,0,1,repositoryvor,Green,,undefined,
